"id","day","value","totalminutesasleep","totaltimeinbed"
"2026352035","2016-04-17 00:00:00","68.0",437,498
"2026352035","2016-04-25 00:00:00","98.0",506,531
"2026352035","2016-05-02 00:00:00","81.0",511,543
"2026352035","2016-05-09 00:00:00","98.0",531,556
"2347167796","2016-04-13 00:00:00","71.0",467,531
"2347167796","2016-04-14 00:00:00","70.0",445,489
"2347167796","2016-04-15 00:00:00","71.0",452,504
"2347167796","2016-04-17 00:00:00","74.0",556,602
"2347167796","2016-04-18 00:00:00","67.0",500,557
"2347167796","2016-04-19 00:00:00","77.0",465,514
"2347167796","2016-04-21 00:00:00","70.0",460,484
"2347167796","2016-04-22 00:00:00","70.0",405,461
"2347167796","2016-04-23 00:00:00","82.0",374,386
"2347167796","2016-04-24 00:00:00","76.0",442,459
"2347167796","2016-04-25 00:00:00","71.0",433,471
"2347167796","2016-04-26 00:00:00","70.0",436,490
"2347167796","2016-04-27 00:00:00","73.0",448,499
"2347167796","2016-04-28 00:00:00","71.0",408,450
"2347167796","2016-04-29 00:00:00","62.0",411,473
"4020332650","2016-04-12 00:00:00","87.0",501,541
"4020332650","2016-04-16 00:00:00","98.0",77,77
"4020332650","2016-05-03 00:00:00","77.0",322,332
"4020332650","2016-05-04 00:00:00","86.0",478,536
"4020332650","2016-05-05 00:00:00","86.0",226,248
"4020332650","2016-05-06 00:00:00","75.0",385,408
"4020332650","2016-05-08 00:00:00","79.0",364,402
"4020332650","2016-05-10 00:00:00","73.0",442,494
"4388161847","2016-04-15 00:00:00","64.0",499,526
"4388161847","2016-04-16 00:00:00","74.0",426,448
"4388161847","2016-04-17 00:00:00","65.0",619,641
"4388161847","2016-04-18 00:00:00","72.0",99,104
"4388161847","2016-04-19 00:00:00","62.0",329,338
"4388161847","2016-04-20 00:00:00","62.0",421,451
"4388161847","2016-04-21 00:00:00","59.0",442,458
"4388161847","2016-04-22 00:00:00","70.0",82,85
"4388161847","2016-04-23 00:00:00","63.0",478,501
"4388161847","2016-04-24 00:00:00","60.0",552,595
"4388161847","2016-04-26 00:00:00","60.0",319,346
"4388161847","2016-04-27 00:00:00","60.0",439,500
"4388161847","2016-04-28 00:00:00","60.0",428,458
"4388161847","2016-04-30 00:00:00","60.0",409,430
"4388161847","2016-05-01 00:00:00","58.0",547,597
"4388161847","2016-05-02 00:00:00","61.0",368,376
"4388161847","2016-05-04 00:00:00","59.0",390,414
"4388161847","2016-05-05 00:00:00","57.0",471,495
"4388161847","2016-05-07 00:00:00","62.0",472,496
"4388161847","2016-05-08 00:00:00","67.0",529,541
"4388161847","2016-05-09 00:00:00","60.0",62,65
"4388161847","2016-05-10 00:00:00","59.0",354,375
"4388161847","2016-05-11 00:00:00","57.0",469,494
"4558609924","2016-04-21 00:00:00","87.0",126,137
"4558609924","2016-04-26 00:00:00","89.0",103,121
"4558609924","2016-04-29 00:00:00","77.0",171,179
"4558609924","2016-05-01 00:00:00","69.0",115,129
"4558609924","2016-05-08 00:00:00","102.0",123,134
"5553957443","2016-04-12 00:00:00","62.0",441,464
"5553957443","2016-04-13 00:00:00","58.0",455,488
